"Year","Country","longitude","latitude","type","value","To","US.longitude","US.latitude","Commodity_Name"
1996,"Canada",-109.433,59.081,"Export",251095344,"US",-95.71289,37.09024,"Coffee"
1996,"Mexico",-102.535,23.951,"Export",3888692,"US",-95.71289,37.09024,"Coffee"
1996,"Guatemala",-90.398,15.256,"Export",178187,"US",-95.71289,37.09024,"Coffee"
1996,"Belize",-88.602,17.219,"Export",64644,"US",-95.71289,37.09024,"Coffee"
1996,"El Salvador",-88.866,13.736,"Export",103128,"US",-95.71289,37.09024,"Coffee"
1996,"Honduras",-86.863,14.819,"Export",0,"US",-95.71289,37.09024,"Coffee"
1996,"Nicaragua",-85.034,12.84,"Export",240399,"US",-95.71289,37.09024,"Coffee"
1996,"Costa Rica",-83.946,9.971,"Export",12842,"US",-95.71289,37.09024,"Coffee"
1996,"Panama",-80.92,8.384,"Export",675290,"US",-95.71289,37.09024,"Coffee"
1996,"Bermuda",-64.709,32.336,"Export",452669,"US",-95.71289,37.09024,"Coffee"
1996,"Bahamas",-78.014,24.628,"Export",740247,"US",-95.71289,37.09024,"Coffee"
1996,"Jamaica",-77.32,18.151,"Export",50506,"US",-95.71289,37.09024,"Coffee"
1996,"Turks and Caicos Islands",-71.95,21.902,"Export",3565,"US",-95.71289,37.09024,"Coffee"
1996,"Cayman Islands",-81.198,19.314,"Export",89290,"US",-95.71289,37.09024,"Coffee"
1996,"Haiti",-72.278,19.142,"Export",0,"US",-95.71289,37.09024,"Coffee"
1996,"Dominican Republic",-70.729,19.015,"Export",119961,"US",-95.71289,37.09024,"Coffee"
1996,"British Virgin Islands",-64.39,18.483,"Export",28300,"US",-95.71289,37.09024,"Coffee"
1996,"St Kitts and Nevis",NA,NA,"Export",9431,"US",-95.71289,37.09024,"Coffee"
1996,"Dominica",-61.356,15.475,"Export",0,"US",-95.71289,37.09024,"Coffee"
1996,"St Lucia",NA,NA,"Export",61178,"US",-95.71289,37.09024,"Coffee"
1996,"Barbados",-59.559,13.153,"Export",115637,"US",-95.71289,37.09024,"Coffee"
1996,"Trinidad and Tobago",-61.253,10.468,"Export",74330,"US",-95.71289,37.09024,"Coffee"
1996,"Netherlands Antilles",-68.87,12.123,"Export",219320,"US",-95.71289,37.09024,"Coffee"
1996,"Aruba",-69.977,12.517,"Export",103280,"US",-95.71289,37.09024,"Coffee"
1996,"Colombia",-73.076,3.9,"Export",58017,"US",-95.71289,37.09024,"Coffee"
1996,"Venezuela",-66.166,7.125,"Export",29527,"US",-95.71289,37.09024,"Coffee"
1996,"Guyana",-58.974,4.792,"Export",167947,"US",-95.71289,37.09024,"Coffee"
1996,"Suriname",-55.912,4.127,"Export",185477,"US",-95.71289,37.09024,"Coffee"
1996,"Ecuador",-78.497,-1.385,"Export",58108,"US",-95.71289,37.09024,"Coffee"
1996,"Peru",-75.552,-9.326,"Export",15886,"US",-95.71289,37.09024,"Coffee"
1996,"Bolivia",-64.671,-16.715,"Export",6822,"US",-95.71289,37.09024,"Coffee"
1996,"Chile",-69.433,-23.389,"Export",1230520,"US",-95.71289,37.09024,"Coffee"
1996,"Brazil",-53.089,-10.772,"Export",584020,"US",-95.71289,37.09024,"Coffee"
1996,"Paraguay",-58.391,-23.236,"Export",25605,"US",-95.71289,37.09024,"Coffee"
1996,"Uruguay",-56.012,-32.8,"Export",7922,"US",-95.71289,37.09024,"Coffee"
1996,"Argentina",-65.167,-35.377,"Export",948663,"US",-95.71289,37.09024,"Coffee"
1996,"Iceland",-18.48,64.764,"Export",13888,"US",-95.71289,37.09024,"Coffee"
1996,"Sweden",15.27,62.011,"Export",612867,"US",-95.71289,37.09024,"Coffee"
1996,"Norway",8.74,61.152,"Export",336140,"US",-95.71289,37.09024,"Coffee"
1996,"Denmark",9.264,56.058,"Export",142327,"US",-95.71289,37.09024,"Coffee"
1996,"United Kingdom",-2.9,54.16,"Export",824102,"US",-95.71289,37.09024,"Coffee"
1996,"Ireland",-8.152,53.177,"Export",16550,"US",-95.71289,37.09024,"Coffee"
1996,"Netherlands",5.389,52.077,"Export",1455283,"US",-95.71289,37.09024,"Coffee"
1996,"Belgium",4.664,50.643,"Export",171242,"US",-95.71289,37.09024,"Coffee"
1996,"France",2.55,46.565,"Export",2679106,"US",-95.71289,37.09024,"Coffee"
1996,"Germany",9.851,51.11,"Export",6951350,"US",-95.71289,37.09024,"Coffee"
1996,"Austria",14.912,47.683,"Export",0,"US",-95.71289,37.09024,"Coffee"
1996,"Czech Republic",15.338,49.743,"Export",130782,"US",-95.71289,37.09024,"Coffee"
1996,"Switzerland",7.908,46.861,"Export",827281,"US",-95.71289,37.09024,"Coffee"
1996,"Estonia",25.793,58.674,"Export",74954,"US",-95.71289,37.09024,"Coffee"
1996,"Latvia",25.641,56.858,"Export",93683,"US",-95.71289,37.09024,"Coffee"
1996,"Lithuania",23.897,55.336,"Export",763859,"US",-95.71289,37.09024,"Coffee"
1996,"Poland",19.401,52.125,"Export",268144,"US",-95.71289,37.09024,"Coffee"
1996,"Russia",96.689,61.988,"Export",16840758,"US",-95.71289,37.09024,"Coffee"
1996,"Belarus",28.047,53.54,"Export",30427,"US",-95.71289,37.09024,"Coffee"
